GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-06-26 16:09:28.446769+00:00,G02,19782188.2669604,13720314.955834627,-11072265.778934369,23781388.229102444,27.4,2024-06-26 16:09:28.446769+00:00,4319092.34756973,3079777.9502806687,3529821.5994040254,33.81818572636432,35.491200755907556,201.3802243033424
2024-06-26 16:09:28.446769+00:00,G03,12332854.714049958,18777936.691801406,14103090.20484415,20553630.993679985,27.6,2024-06-26 16:09:29.446769+00:00,4319096.911804181,3079782.092043749,3529824.220125397,33.81817464393569,35.49120855798806,207.92405144497752
2024-06-26 16:09:28.446769+00:00,G04,13255490.944584385,8565938.541096194,21399032.86778345,20718832.34603029,27.9,2024-06-26 16:09:30.446769+00:00,4319094.806349628,3079778.2506917967,3529828.5810253527,33.81822709851106,35.49118797923102,207.07405171450227
2024-06-26 16:09:28.446769+00:00,G06,15273107.318819202,-8176199.137597462,20225016.36242664,22922085.95157852,27.4,2024-06-26 16:09:31.446769+00:00,4319081.988725865,3079764.8758499757,3529817.1357737207,33.81823269988061,35.491150734765945,185.58230198547244
2024-06-26 16:09:28.446769+00:00,G07,25496049.423942767,5514790.520477798,-5639513.742362769,23205067.00526777,28.2,2024-06-26 16:09:32.446769+00:00,4319090.686993119,3079769.3232057476,3529824.2246712656,33.8182373048658,35.49113530060653,197.55679507460445
2024-06-26 16:09:28.446769+00:00,G09,20951103.356312104,-3086183.5399658177,15979283.642674858,21671104.122975934,27.1,2024-06-26 16:09:33.446769+00:00,4319059.469654201,3079770.6037011985,3529821.883315262,33.81834357101066,35.49134232075098,175.7544722519815
2024-06-26 16:09:28.446769+00:00,G16,-27929.34422029648,26150080.59996357,2615199.446893269,23494200.94521473,28.4,2024-06-26 16:09:34.446769+00:00,4319095.016462177,3079777.240279618,3529816.8370744903,33.81814122165181,35.49117777586834,200.19260548241436
2024-06-26 16:09:28.446769+00:00,G17,22779073.341805734,-13257105.936203877,-3516461.304288728,25638272.19655864,27.3,2024-06-26 16:09:35.446769+00:00,4319098.977792693,3079777.346086748,3529832.508033546,33.81824210519697,35.4911538656103,211.64509561751038
2024-06-26 16:09:28.446769+00:00,G19,19753081.669114366,-16711191.30312799,4782491.171259847,25128974.791195694,27.6,2024-06-26 16:09:36.446769+00:00,4319098.955171254,3079775.225715508,3529829.9339202424,33.8182290943965,35.49113536045557,209.17438830900937
2024-06-26 16:09:28.446769+00:00,G21,15796856.255660918,15406159.378285278,-15059347.985387282,25084674.277555928,27.3,2024-06-26 16:09:37.446769+00:00,4319097.818809841,3079780.0201468533,3529826.3696163204,33.81819307374725,35.49118464962819,208.73453588411212
