GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-06-26 17:52:15.446562+00:00,G03,12281305.698185064,23216815.78696933,-4530544.59377487,23105596.93557787,44.2,2024-06-26 17:52:25.612750+00:00,4392333.505770919,3085832.1387221375,3303992.097253446,31.786354079727815,35.08994388707049,-68961.34524985589
2024-06-26 17:52:15.446562+00:00,G04,2538949.253382885,20387582.949595176,16774889.53307354,21866918.24323631,44.3,2024-06-26 17:52:26.612750+00:00,4392410.164762338,3085290.3977370416,3303302.200705405,31.782201301056578,35.08474185327719,-69536.11465753708
2024-06-26 17:52:15.446562+00:00,G06,25533495.32339125,-5280708.033934282,5415395.975149275,22880239.3064202,44.4,2024-06-26 17:52:27.612750+00:00,4393821.986065779,3086235.223955724,3304031.273248955,31.779696629496893,35.08433270251592,-67708.40055393334
2024-06-26 17:52:15.446562+00:00,G07,22714539.332711488,7253262.2142046895,12692285.710668355,20970508.55975807,44.3,2024-06-26 17:52:28.612750+00:00,4392820.563481606,3085718.6142435954,3303700.5221663034,31.78249377907007,35.08596411275632,-68831.61883407459
2024-06-26 17:52:15.446562+00:00,G09,12032183.800594673,9923349.166597908,21409304.626935624,20639847.25876693,44.4,2024-06-26 17:52:29.612750+00:00,4393482.351129861,3086072.7902061273,3304035.4884359823,31.78151187166014,35.084997487431686,-68021.80271895323
2024-06-26 17:52:15.446562+00:00,G11,16652828.311829807,-12152197.885542104,16738090.15831888,23634582.124276955,44.0,2024-06-26 17:52:30.612750+00:00,4390995.535558255,3085102.39165723,3302812.475112539,31.78448406561555,35.091780615113635,-70869.89078900404
2024-06-26 17:52:15.446562+00:00,G16,-4740474.500319043,17848781.79657623,18584053.16671867,22952789.603552863,44.1,2024-06-26 17:52:31.612750+00:00,4392095.643633394,3085910.0064600515,3303163.657982248,31.78065289007933,35.09208351703207,-69525.0843747342
2024-06-26 17:52:15.446562+00:00,G20,7411421.551071476,-14033687.69068345,21376678.90962516,24918757.84813194,44.3,2024-06-26 17:52:32.612750+00:00,4393002.445814733,3085476.77284045,3303357.7318431567,31.77978981295262,35.08273613905402,-69003.80254703946
2024-06-26 17:52:15.446562+00:00,G30,26608501.91017973,-390337.6066752707,2402140.4971073763,22586114.21896403,44.1,2024-06-26 17:52:33.612750+00:00,4391654.788417633,3085020.0227917046,3302518.9900370594,31.77984508132163,35.087015053575115,-70606.16442886554
2024-06-26 17:52:16.446562+00:00,G03,12280838.039518517,23216467.49089603,-4533696.766399571,23106233.105862223,44.6,2024-06-26 17:52:34.612750+00:00,4392692.532178373,3085822.890269339,3303543.4547370304,31.781491714317774,35.087660292544236,-68952.44925834984
2024-06-26 17:52:16.446562+00:00,G04,2537812.56441404,20389394.19881016,16772844.734034136,21867205.45875585,44.5,2024-06-26 17:52:35.612750+00:00,4392115.249597512,3084974.6676159687,3303081.4613197707,31.782520903697794,35.08379338632387,-70011.78582567908
2024-06-26 17:52:16.446562+00:00,G06,25534181.251649067,-5280578.885408144,5412262.657421509,22880566.98006509,44.6,2024-06-26 17:52:36.612750+00:00,4392481.797725383,3085253.1734085567,3303286.725241858,31.781902591026576,35.08397722038455,-69512.62469276413
2024-06-26 17:52:16.446562+00:00,G07,22713046.75834116,7253595.101989247,12694827.759136423,20970375.766327668,44.6,2024-06-26 17:52:37.612750+00:00,4392337.357571237,3085521.6114413673,3303190.5856589004,31.78098401608451,35.08720810049338,-69532.5692791082
2024-06-26 17:52:16.446562+00:00,G09,12031029.74990175,9925834.203569192,21408797.98496971,20639795.697804227,44.7,2024-06-26 17:52:38.612750+00:00,4392169.7612995235,3085685.739944497,3303529.9587135613,31.78381999007827,35.08966998456472,-69390.19764674548
2024-06-26 17:52:16.446562+00:00,G11,16654954.884483874,-12152098.05266852,16736038.300584184,23634476.879730243,44.4,2024-06-26 17:52:39.612750+00:00,4391949.689698202,3085180.6752846236,3303166.795560772,31.783264344863156,35.08660880034489,-69981.34656515718
2024-06-26 17:52:16.446562+00:00,G16,-4741837.57909435,17846744.118441496,18585677.68508905,22953084.0093801,44.6,2024-06-26 17:52:40.612750+00:00,4391238.350517701,3085488.1176588857,3303587.0361688514,31.788468693971986,35.093659798955684,-70104.51313217636
