GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,GPS_Unique_Time,Pos_X,Pos_Y,Pos_Z,Lat,Lon,Alt
2024-07-01 08:44:59.432854+00:00,G10,21526789.15230445,10741505.958637822,11819045.59049265,20241402.590561178,35.3,2024-07-01 08:44:59.432854+00:00,4438580.593223105,3093067.846344932,3367189.2956043473,32.0710900464823,34.87108548187603,141.81151041947305
2024-07-01 08:44:59.432854+00:00,G16,25269817.712313037,-545866.0422670441,8524784.34161526,21466794.291087866,30.6,2024-07-01 08:45:06.432855+00:00,4438457.706949041,3093209.980308519,3367155.8200830044,32.07092787113079,34.87306458239667,107.46618250478059
2024-07-01 08:44:59.432854+00:00,G18,-826725.3495848347,20000096.80219155,17363212.563561555,22271452.733847734,32.4,2024-07-01 08:45:07.432855+00:00,4438446.599432479,3093242.9505719966,3367159.868258992,32.07091217658263,34.87341831663439,117.86783399060369
2024-07-01 08:44:59.432854+00:00,G23,16075233.330798129,521167.2755323332,20918070.21376308,20914856.637274083,30.2,2024-07-01 08:45:08.432855+00:00,4438413.428122669,3093238.508466981,3367155.458016817,32.07102094513261,34.87358058702675,90.31274191103876
2024-07-01 08:44:59.432854+00:00,G26,15452189.958497051,19495404.31949817,-9369617.278526776,23206889.458068617,31.7,2024-07-01 08:45:09.432855+00:00,4438414.997404793,3093280.0434515793,3367170.8067721804,32.071018357564384,34.87393197423846,119.6776799801737
2024-07-01 08:44:59.432854+00:00,G10,21526789.15230445,10741505.958637822,11819045.59049265,20241402.590561178,35.3,2024-07-01 08:45:10.432855+00:00,4438392.703715579,3093295.0049256855,3367146.778736217,32.07088135728112,34.87419697117103,98.66985032334924
2024-07-01 08:44:59.432854+00:00,G16,25269817.712313037,-545866.0422670441,8524784.34161526,21466794.291087866,30.6,2024-07-01 08:45:11.432855+00:00,4438375.532821249,3093321.6717829774,3367158.9595966283,32.07096888392934,34.874532652514496,106.12082709092647
2024-07-01 08:44:59.432854+00:00,G18,-826725.3495848347,20000096.80219155,17363212.563561555,22271452.733847734,32.4,2024-07-01 08:45:12.432855+00:00,4438363.680605447,3093338.3001767676,3367156.1309419326,32.070948301345624,34.87474890447893,104.43604217842221
2024-07-01 08:44:59.432854+00:00,G23,16075233.330798129,521167.2755323332,20918070.21376308,20914856.637274083,30.2,2024-07-01 08:45:13.432855+00:00,4438350.374702542,3093369.9062295803,3367156.874558262,32.07091972040983,34.87510409549675,110.89458815194666
2024-07-01 08:44:59.432854+00:00,G26,15452189.958497051,19495404.31949817,-9369617.278526776,23206889.458068617,31.7,2024-07-01 08:45:14.432855+00:00,4438325.588944761,3093385.9952642475,3367148.9905861286,32.07091278857483,34.87539398290273,97.2730499971658
2024-07-01 08:44:59.432854+00:00,G10,21526789.15230445,10741505.958637822,11819045.59049265,20241402.590561178,35.3,2024-07-01 08:45:15.432855+00:00,4438314.603150734,3093413.9386642464,3367149.9426930193,32.070886713118554,34.87570329993124,103.68085685558617
2024-07-01 08:44:59.432854+00:00,G16,25269817.712313037,-545866.0422670441,8524784.34161526,21466794.291087866,30.6,2024-07-01 08:45:16.432855+00:00,4438311.447028014,3093443.2088988065,3367146.4278922337,32.07079211253404,34.875976729438364,113.80305976979434
2024-07-01 08:44:59.432854+00:00,G18,-826725.3495848347,20000096.80219155,17363212.563561555,22271452.733847734,32.4,2024-07-01 08:45:17.432855+00:00,4438294.381584221,3093470.4379692636,3367144.218366382,32.07076771335596,34.87631665548185,113.95975887961686
2024-07-01 08:44:59.432854+00:00,G23,16075233.330798129,521167.2755323332,20918070.21376308,20914856.637274083,30.2,2024-07-01 08:45:18.432855+00:00,4438280.895800605,3093492.97611453,3367153.5961444597,32.0708306423635,34.8765941462741,120.48464896902442
2024-07-01 08:44:59.432854+00:00,G26,15452189.958497051,19495404.31949817,-9369617.278526776,23206889.458068617,31.7,2024-07-01 08:45:19.432855+00:00,4438266.4855526,3093506.5300875953,3367137.9262120365,32.07073039264484,34.87679917677863,108.71418085228652
2024-07-01 08:44:59.432854+00:00,G10,21526789.15230445,10741505.958637822,11819045.59049265,20241402.590561178,35.3,2024-07-01 08:45:20.432855+00:00,4438248.504913424,3093532.7697156337,3367135.862280505,32.07071340795935,34.87713604833053,107.83290934562683
2024-07-01 08:44:59.432854+00:00,G16,25269817.712313037,-545866.0422670441,8524784.34161526,21466794.291087866,30.6,2024-07-01 08:45:21.432856+00:00,4438237.754538864,3093557.0778310746,3367135.8912947653,32.07068930313571,34.877412351463164,112.15349841490388
2024-07-01 08:44:59.432854+00:00,G18,-826725.3495848347,20000096.80219155,17363212.563561555,22271452.733847734,32.4,2024-07-01 08:45:22.432856+00:00,4438226.884384156,3093585.490840271,3367138.2262738342,32.070672050545376,34.87772504422953,119.6043901592493
2024-07-01 08:44:59.432854+00:00,G23,16075233.330798129,521167.2755323332,20918070.21376308,20914856.637274083,30.2,2024-07-01 08:45:23.432856+00:00,4438209.990880242,3093604.4388442812,3367129.486587582,32.070619743388086,34.87799197920217,112.40144346747547
2024-07-01 08:44:59.432854+00:00,G26,15452189.958497051,19495404.31949817,-9369617.278526776,23206889.458068617,31.7,2024-07-01 08:45:24.432856+00:00,4438189.868882389,3093620.619316582,3367121.9479710115,32.07059687335532,34.87825442154174,102.25089171063155
2024-07-01 08:44:59.432854+00:00,G10,21526789.15230445,10741505.958637822,11819045.59049265,20241402.590561178,35.3,2024-07-01 08:45:25.432856+00:00,4438181.46148344,3093659.1230552285,3367132.05127962,32.07060167930744,34.87863986923779,120.42860004026443
2024-07-01 08:44:59.432854+00:00,G16,25269817.712313037,-545866.0422670441,8524784.34161526,21466794.291087866,30.6,2024-07-01 08:45:26.432856+00:00,4438165.799663267,3093675.2412322843,3367122.414961915,32.07054542853006,34.87887475895932,112.23488395381719
2024-07-01 08:44:59.432854+00:00,G18,-826725.3495848347,20000096.80219155,17363212.563561555,22271452.733847734,32.4,2024-07-01 08:45:27.432856+00:00,4438142.115891059,3093689.708296585,3367109.4772622655,32.07049998028192,34.87914388692484,95.9116273727268
2024-07-01 08:44:59.432854+00:00,G23,16075233.330798129,521167.2755323332,20918070.21376308,20914856.637274083,30.2,2024-07-01 08:45:28.432856+00:00,4438137.443921543,3093721.829011165,3367118.9529125663,32.07050279213545,34.8794512524778,113.26017822977155
2024-07-01 08:44:59.432854+00:00,G26,15452189.958497051,19495404.31949817,-9369617.278526776,23206889.458068617,31.7,2024-07-01 08:45:29.432856+00:00,4438117.340105337,3093734.8603204717,3367106.3009281266,32.07044939512714,34.879686225908,98.8817567108199
2024-07-01 08:45:06.432855+00:00,G10,10980498.74134028,-11767897.209862208,20946528.49918978,23630924.419261266,34.8,2024-07-01 08:45:30.432856+00:00,4438110.232012657,3093765.9268806907,3367117.3905241536,32.070476994721325,34.87999918521076,114.88314825017005
2024-07-01 08:45:06.432855+00:00,G16,21516563.55453816,10741187.585823704,11838057.336893098,20240518.181352284,37.5,2024-07-01 08:45:31.432856+00:00,4438092.191323622,3093795.009483864,3367112.514613963,32.0704309642867,34.880361118974186,113.84628716856241
2024-07-01 08:45:06.432855+00:00,G18,-9401806.246742489,13399618.301578289,20381708.01393248,23933736.672608443,33.9,2024-07-01 08:45:32.432856+00:00,4438058.921271383,3093802.488038214,3367109.929615337,32.070521416494486,34.88062759239946,92.96988995559514
2024-07-01 08:45:06.432855+00:00,G23,25277096.0561423,-542628.6327605015,8504498.191312289,21468420.98791136,30.5,2024-07-01 08:45:33.432856+00:00,4438034.507877973,3093820.7088533416,3367096.9407226047,32.070468160349954,34.880933756489924,77.93198991380632
2024-07-01 08:45:06.432855+00:00,G26,25897314.878781684,4835766.409699608,-4837629.890987562,22739994.61881235,39.9,2024-07-01 08:45:34.432856+00:00,4438041.586327471,3093860.7624887396,3367112.0174306356,32.07044589267912,34.881238871571774,110.26792806852609
2024-07-01 08:45:06.432855+00:00,G27,16082328.324233389,538802.0546264118,20912537.165267136,20911990.01781934,33.3,2024-07-01 08:45:35.432856+00:00,4438012.935501693,3093865.732234113,3367104.769301028,32.070489434233984,34.881455575446225,88.9111736966297
2024-07-01 08:45:06.432855+00:00,G32,15453991.328859538,19503867.242469,-9349608.468765292,23202587.44177912,36.4,2024-07-01 08:45:36.432856+00:00,4438016.538006482,3093902.25754579,3367116.487354907,32.07046481395596,34.88175108616176,115.33785110060126
2024-07-01 08:45:06.432855+00:00,G10,10980498.74134028,-11767897.209862208,20946528.49918978,23630924.419261266,34.8,2024-07-01 08:45:37.432857+00:00,4437996.962645937,3093933.1230529477,3367116.6476213606,32.07045840967878,34.8821378039493,116.77309971861541
2024-07-01 08:45:06.432855+00:00,G16,21516563.55453816,10741187.585823704,11838057.336893098,20240518.181352284,37.5,2024-07-01 08:45:38.432857+00:00,4437978.942333216,3093937.241210811,3367113.1476756986,32.070491168886335,34.88228272613274,104.38378938566893
2024-07-01 08:45:06.432855+00:00,G18,-9401806.246742489,13399618.301578289,20381708.01393248,23933736.672608443,33.9,2024-07-01 08:45:39.432857+00:00,4437946.812542075,3093949.0629437733,3367116.91633223,32.07061379862379,34.88258003493866,89.77911854535341
2024-07-01 08:45:06.432855+00:00,G23,25277096.0561423,-542628.6327605015,8504498.191312289,21468420.98791136,30.5,2024-07-01 08:45:40.432857+00:00,4437935.024197303,3093967.957923175,3367117.5069983285,32.07061287421581,34.88281559182592,91.05515640228987
2024-07-01 08:45:06.432855+00:00,G26,25897314.878781684,4835766.409699608,-4837629.890987562,22739994.61881235,39.9,2024-07-01 08:45:41.432857+00:00,4437918.916522208,3093981.851862623,3367110.7676411415,32.070586595544256,34.88303386216439,83.01313199289143
2024-07-01 08:45:06.432855+00:00,G27,16082328.324233389,538802.0546264118,20912537.165267136,20911990.01781934,33.3,2024-07-01 08:45:42.432857+00:00,4437910.006756277,3094030.338653358,3367125.417112783,32.07060076315289,34.88350907072121,108.09616287332028
2024-07-01 08:45:06.432855+00:00,G32,15453991.328859538,19503867.242469,-9349608.468765292,23202587.44177912,36.4,2024-07-01 08:45:43.432857+00:00,4437888.258398864,3094029.1441109087,3367122.669694604,32.07066846348791,34.883630421709974,90.94050982780755
2024-07-01 08:45:06.432855+00:00,G10,10980498.74134028,-11767897.209862208,20946528.49918978,23630924.419261266,34.8,2024-07-01 08:45:44.432857+00:00,4437865.459163849,3094063.7589987866,3367127.1072308077,32.07069713461314,34.88406924196422,94.2239477969706
2024-07-01 08:45:06.432855+00:00,G16,21516563.55453816,10741187.585823704,11838057.336893098,20240518.181352284,37.5,2024-07-01 08:45:45.432857+00:00,4437853.580031261,3094092.0933802812,3367123.133712344,32.07063583586771,34.884387354985094,97.58868553768843
2024-07-01 08:45:06.432855+00:00,G18,-9401806.246742489,13399618.301578289,20381708.01393248,23933736.672608443,33.9,2024-07-01 08:45:46.432857+00:00,4437841.027669377,3094113.974126115,3367130.4165648655,32.070680872583274,34.88465347826908,103.33458938915282
2024-07-01 08:45:06.432855+00:00,G23,25277096.0561423,-542628.6327605015,8504498.191312289,21468420.98791136,30.5,2024-07-01 08:45:47.432857+00:00,4437820.885923984,3094140.6010248703,3367125.028789374,32.07064589476453,34.88500680420318,99.37763655092567
